Date,"Artralgia","Influenza aviaria","Influenzavirus A","Influenzavirus A sottotipo H1N1","Virus dell'influenza A sottotipo H1N1","Zanamivir","Influenza spagnola","Influenza e fortuna del pensiero di Nietzsche"
2017-01-01,51,130,43,83,4,15,375,11
2017-01-02,112,165,59,124,11,23,426,18
2017-01-03,85,171,94,136,13,32,362,23
2017-01-04,101,161,106,156,11,39,386,11
2017-01-05,68,193,67,113,9,34,351,22
2017-01-06,57,151,60,80,7,14,308,18
2017-01-07,47,141,66,93,13,20,304,27
2017-01-08,55,135,58,87,10,20,442,29
2017-01-09,87,147,62,87,9,15,356,29
2017-01-10,97,189,90,90,6,25,340,16
2017-01-11,95,195,68,139,16,23,331,22
2017-01-12,81,125,72,99,9,22,368,22
2017-01-13,96,133,66,99,11,24,352,19
2017-01-14,47,217,52,78,10,15,280,20
2017-01-15,72,130,62,67,9,19,315,26
2017-01-16,113,124,62,91,7,19,296,32
2017-01-17,88,104,78,66,8,15,510,33
2017-01-18,96,208,64,83,5,21,426,28
2017-01-19,111,169,62,105,9,14,312,31
2017-01-20,84,125,57,69,8,18,288,20
2017-01-21,65,106,40,62,12,14,337,20
2017-01-22,49,106,23,54,4,12,364,14
2017-01-23,86,355,67,68,7,21,383,24
2017-01-24,90,526,65,71,12,12,329,28
2017-01-25,94,478,57,66,8,20,309,29
2017-01-26,81,466,48,64,7,19,349,22
2017-01-27,86,380,68,85,5,5,470,31
2017-01-28,75,231,33,48,2,6,801,27
2017-01-29,59,189,32,59,10,8,1179,21
2017-01-30,89,176,65,95,5,16,378,30
2017-01-31,77,179,43,66,3,16,321,38
2017-02-01,101,184,61,66,6,23,329,28
2017-02-02,113,169,51,38,7,17,328,34
2017-02-03,98,155,48,53,9,16,269,21
2017-02-04,75,160,38,50,14,15,276,28
2017-02-05,103,149,32,61,6,14,367,35
2017-02-06,109,155,52,64,5,12,331,26
2017-02-07,97,149,46,61,5,17,264,23
2017-02-08,113,143,34,59,5,22,289,62
2017-02-09,101,153,50,57,6,15,248,49
2017-02-10,93,143,38,47,7,8,255,29
2017-02-11,82,113,30,34,4,8,253,25
2017-02-12,54,148,29,52,5,9,278,23
2017-02-13,110,128,46,52,8,26,262,29
2017-02-14,100,113,27,36,12,17,282,44
2017-02-15,124,146,45,55,3,25,245,25
2017-02-16,101,121,50,48,12,24,268,23
2017-02-17,96,214,26,54,6,10,243,24
2017-02-18,93,296,37,58,6,13,280,33
2017-02-19,75,173,22,45,6,10,342,30
2017-02-20,105,177,38,49,1,14,336,39
2017-02-21,107,127,31,53,25,25,325,29
2017-02-22,122,141,28,61,4,27,260,37
2017-02-23,104,131,38,58,6,10,271,29
2017-02-24,84,94,44,32,6,3,228,37
2017-02-25,65,76,22,41,7,2,221,24
2017-02-26,69,81,15,32,5,8,244,20
2017-02-27,86,108,29,44,5,11,212,35
2017-02-28,92,101,28,29,6,4,261,33
2017-03-01,107,97,18,28,2,7,240,38
2017-03-02,91,104,21,47,4,9,244,32
2017-03-03,104,95,8,30,6,7,287,44
2017-03-04,87,85,18,36,4,7,282,14
2017-03-05,67,115,16,50,6,21,329,34
2017-03-06,99,103,28,37,4,7,247,27
2017-03-07,106,118,18,51,4,8,282,32
2017-03-08,83,82,21,54,7,10,436,22
2017-03-09,92,94,12,40,9,12,255,37
2017-03-10,91,98,5,28,2,4,218,25
2017-03-11,59,95,16,34,0,12,228,18
2017-03-12,60,91,14,44,9,7,258,28
2017-03-13,109,107,20,37,2,5,220,26
2017-03-14,121,77,10,31,2,14,229,32
2017-03-15,113,110,18,52,10,7,234,36
2017-03-16,101,130,17,45,4,10,219,28
2017-03-17,88,104,13,40,6,9,231,42
2017-03-18,82,102,8,35,10,14,252,26
2017-03-19,80,85,11,30,6,11,309,33
2017-03-20,125,90,18,38,3,9,414,28
2017-03-21,89,84,18,34,4,16,397,41
2017-03-22,81,90,19,36,7,11,322,27
2017-03-23,97,88,21,58,6,11,357,33
2017-03-24,86,93,20,27,4,11,260,23
2017-03-25,44,53,13,34,4,11,213,21
2017-03-26,69,75,19,26,7,6,228,46
2017-03-27,93,92,15,31,5,6,220,32
2017-03-28,87,93,24,28,5,5,231,34
2017-03-29,108,113,23,46,3,8,273,26
2017-03-30,78,100,23,44,9,10,193,28
2017-03-31,97,129,19,39,4,16,180,24
2017-04-01,54,111,19,24,4,3,194,24
2017-04-02,64,86,14,31,6,10,250,23
2017-04-03,81,139,13,36,14,11,222,35
2017-04-04,94,108,21,42,6,10,246,30
2017-04-05,74,201,18,41,6,15,275,26
2017-04-06,82,189,25,26,7,5,260,13
2017-04-07,88,126,20,29,2,11,245,25
2017-04-08,60,131,16,34,9,10,200,24
2017-04-09,54,137,12,28,5,6,279,24
2017-04-10,135,158,31,24,5,14,252,26
2017-04-11,108,111,13,44,3,17,233,21
2017-04-12,90,90,11,43,11,9,193,24
2017-04-13,88,131,8,19,3,9,176,39
2017-04-14,74,94,7,28,1,4,181,26
2017-04-15,38,82,10,33,4,12,181,23
2017-04-16,43,67,13,20,2,4,282,27
2017-04-17,59,90,13,24,4,5,236,14
2017-04-18,94,116,10,35,4,9,264,53
2017-04-19,68,121,28,44,5,9,261,34
2017-04-20,100,152,15,47,9,7,508,40
2017-04-21,82,80,18,27,6,8,308,70
2017-04-22,67,67,23,38,10,6,283,25
2017-04-23,62,97,7,38,7,6,321,25
2017-04-24,62,105,23,37,4,8,306,32
2017-04-25,57,105,18,32,5,6,260,30
2017-04-26,76,185,19,33,3,12,254,50
2017-04-27,82,218,21,32,13,13,280,41
2017-04-28,78,110,14,25,5,5,183,28
2017-04-29,55,79,22,16,13,9,177,13
2017-04-30,69,80,13,21,3,11,259,26
2017-05-01,45,96,17,38,2,8,280,34
2017-05-02,94,106,12,36,5,9,294,33
2017-05-03,74,87,14,37,6,5,301,51
2017-05-04,79,100,31,42,5,7,305,53
2017-05-05,76,81,21,36,4,4,269,25
2017-05-06,50,75,15,34,7,4,231,31
2017-05-07,52,87,18,35,4,8,227,37
2017-05-08,68,85,24,28,7,5,317,45
2017-05-09,50,100,22,39,6,6,374,54
2017-05-10,82,83,18,24,7,9,251,48
2017-05-11,64,97,13,25,3,7,300,38
2017-05-12,70,119,15,38,5,7,665,40
2017-05-13,52,93,12,42,19,10,1718,23
2017-05-14,52,100,20,146,37,10,7713,56
2017-05-15,77,114,15,57,7,13,1176,48
2017-05-16,84,105,21,41,6,8,406,48
2017-05-17,97,84,16,28,8,14,317,48
2017-05-18,72,92,18,40,12,8,287,54
2017-05-19,67,78,20,30,4,6,281,47
2017-05-20,57,98,25,93,12,8,1615,27
2017-05-21,64,92,17,47,7,8,568,34
2017-05-22,85,108,46,45,52,8,434,53
2017-05-23,70,88,27,44,16,13,327,56
2017-05-24,62,121,27,52,15,12,292,46
2017-05-25,79,104,25,43,14,7,296,48
2017-05-26,53,64,24,42,8,9,308,41
2017-05-27,48,60,17,41,1,5,268,32
2017-05-28,54,69,17,30,8,6,312,49
2017-05-29,67,80,22,45,15,17,326,76
2017-05-30,53,94,15,44,9,11,316,62
2017-05-31,63,87,13,41,8,9,310,85
2017-06-01,72,109,17,40,6,16,376,69
2017-06-02,37,84,21,46,3,10,346,73
2017-06-03,58,92,24,41,3,5,285,59
2017-06-04,39,81,14,27,5,5,277,96
2017-06-05,59,115,18,40,9,6,309,109
2017-06-06,76,123,21,41,9,13,273,106
2017-06-07,72,93,32,38,8,16,256,98
2017-06-08,75,94,28,49,8,13,263,80
2017-06-09,61,72,24,36,6,17,274,96
2017-06-10,56,88,29,40,4,9,233,81
2017-06-11,46,77,34,33,4,8,363,102
2017-06-12,75,92,34,48,8,18,319,157
2017-06-13,79,96,45,41,1,22,335,127
2017-06-14,75,101,28,46,3,16,313,122
2017-06-15,73,102,21,42,6,21,237,120
2017-06-16,64,83,34,33,5,21,247,149
2017-06-17,69,89,21,39,5,11,241,67
2017-06-18,49,67,14,38,3,3,278,116
2017-06-19,54,74,17,22,2,22,267,148
2017-06-20,82,83,25,33,5,15,239,141
2017-06-21,93,89,19,34,4,15,214,41
2017-06-22,73,78,12,33,3,10,243,24
