Date,"Influenza","Febbre","Rinorrea","Mialgia","Cefalea","Vomito","Vaccino influenza stagionale","Vaccino antinfluenzale","Amantadina","Antivirale"
2017-01-01,552,1009,53,104,398,264,1,55,28,86
2017-01-02,811,1351,95,169,567,347,1,72,64,114
2017-01-03,855,1434,79,155,499,294,0,83,67,135
2017-01-04,791,1414,69,123,449,215,2,78,60,107
2017-01-05,768,1249,71,120,490,224,1,71,64,100
2017-01-06,690,1137,81,99,357,231,0,55,54,83
2017-01-07,609,1018,70,96,289,268,1,51,50,104
2017-01-08,645,1019,79,92,313,267,1,37,56,91
2017-01-09,671,1047,90,116,433,240,1,46,79,80
2017-01-10,584,1010,70,123,418,227,1,69,57,73
2017-01-11,624,943,67,123,423,197,1,53,59,72
2017-01-12,718,1059,74,136,395,196,0,59,73,60
2017-01-13,566,859,68,129,372,192,1,51,64,64
2017-01-14,534,879,72,102,305,185,1,35,77,72
2017-01-15,536,994,56,107,318,233,0,26,71,81
2017-01-16,507,970,65,116,380,213,0,33,70,88
2017-01-17,588,864,71,123,366,231,0,40,83,73
2017-01-18,520,907,54,108,359,198,0,37,102,63
2017-01-19,487,855,59,118,297,211,0,51,70,75
2017-01-20,478,767,72,106,389,245,1,30,61,60
2017-01-21,419,804,58,88,287,182,0,26,48,78
2017-01-22,442,782,65,99,249,216,0,19,59,98
2017-01-23,536,956,81,126,360,237,1,37,63,60
2017-01-24,553,866,58,121,386,191,1,35,77,75
2017-01-25,432,814,56,119,388,178,0,37,78,71
2017-01-26,427,793,60,128,368,227,3,57,85,64
2017-01-27,355,731,66,102,274,177,0,32,66,75
2017-01-28,368,704,55,109,293,190,0,19,68,48
2017-01-29,364,799,70,106,301,236,0,28,50,63
2017-01-30,386,883,67,135,385,262,0,25,102,73
2017-01-31,348,819,60,120,365,234,0,36,76,63
2017-02-01,396,845,64,157,423,235,0,14,66,67
2017-02-02,395,779,68,133,341,211,0,31,97,75
2017-02-03,370,686,64,165,334,225,0,21,79,54
2017-02-04,321,642,45,140,332,163,0,38,66,61
2017-02-05,394,696,72,156,313,244,1,29,67,59
2017-02-06,439,732,109,205,393,256,0,28,76,68
2017-02-07,301,719,68,151,346,227,0,24,83,71
2017-02-08,318,712,84,161,408,227,1,41,79,67
2017-02-09,375,672,68,158,403,214,0,29,71,73
2017-02-10,302,565,53,126,341,197,0,24,60,49
2017-02-11,254,557,49,99,291,200,0,22,44,63
2017-02-12,247,598,57,120,285,214,0,9,48,59
2017-02-13,305,621,70,167,389,223,0,31,83,65
2017-02-14,291,554,68,106,311,186,0,30,64,60
2017-02-15,312,611,55,126,361,215,0,22,78,55
2017-02-16,301,618,77,148,368,234,0,27,91,83
2017-02-17,321,544,80,131,354,177,0,15,72,62
2017-02-18,229,524,59,117,337,207,0,14,49,61
2017-02-19,241,606,80,101,322,205,0,25,51,57
2017-02-20,287,626,77,134,381,232,0,21,82,79
2017-02-21,277,642,76,130,388,254,0,21,78,63
2017-02-22,274,596,43,143,376,204,0,28,70,64
2017-02-23,264,552,61,138,357,186,0,25,77,77
2017-02-24,215,547,70,134,331,166,1,17,59,72
2017-02-25,181,415,54,125,248,191,0,20,58,68
2017-02-26,199,449,61,102,253,218,0,16,53,44
2017-02-27,263,560,67,137,357,180,0,17,84,54
2017-02-28,239,511,68,141,364,187,2,22,44,65
2017-03-01,240,444,64,109,346,182,0,6,50,54
2017-03-02,236,493,69,136,345,190,1,17,60,63
2017-03-03,224,509,58,129,320,155,1,13,41,67
2017-03-04,172,450,57,108,279,177,0,15,48,42
2017-03-05,232,504,64,94,355,178,1,10,41,59
2017-03-06,240,552,74,118,414,189,0,10,61,60
2017-03-07,222,490,64,130,308,152,0,17,114,55
2017-03-08,216,472,72,122,304,161,0,8,399,71
2017-03-09,161,475,67,113,337,188,0,8,71,51
2017-03-10,151,488,56,127,311,157,0,8,54,60
2017-03-11,159,509,50,97,256,175,0,3,36,50
2017-03-12,190,475,58,113,263,157,1,9,35,52
2017-03-13,206,549,73,118,357,179,0,12,40,61
2017-03-14,191,509,71,103,298,173,0,13,58,51
2017-03-15,161,453,76,97,336,171,0,4,79,62
2017-03-16,194,491,66,108,297,172,0,11,54,43
2017-03-17,184,497,57,112,306,130,0,19,48,44
2017-03-18,151,424,50,85,231,182,0,14,45,36
2017-03-19,134,488,58,75,255,192,0,11,48,52
2017-03-20,216,513,56,122,319,194,0,18,49,67
2017-03-21,201,635,53,121,335,220,0,16,63,59
2017-03-22,188,561,56,110,342,185,0,18,66,65
2017-03-23,196,459,73,114,309,175,0,17,72,77
2017-03-24,160,466,65,73,270,168,0,10,71,61
2017-03-25,128,421,29,89,250,147,0,8,50,43
2017-03-26,168,483,50,93,252,181,0,12,48,44
2017-03-27,178,514,42,100,319,178,0,24,59,73
2017-03-28,176,507,50,85,294,186,0,11,54,68
2017-03-29,182,515,56,72,298,172,1,15,54,72
2017-03-30,204,460,44,105,314,168,1,13,54,62
2017-03-31,167,411,56,100,290,135,2,19,63,55
2017-04-01,126,365,44,72,215,130,0,12,47,38
2017-04-02,158,505,38,91,223,184,0,9,36,57
2017-04-03,153,485,65,117,296,177,0,12,56,52
2017-04-04,164,526,41,116,339,167,0,11,46,63
2017-04-05,194,474,51,110,334,168,1,14,59,64
2017-04-06,147,468,41,97,404,138,0,14,57,61
2017-04-07,164,434,57,95,310,166,2,21,59,68
2017-04-08,121,372,36,79,233,136,1,12,34,53
2017-04-09,146,380,42,64,237,137,1,15,40,46
2017-04-10,162,485,47,115,350,159,0,12,53,61
2017-04-11,190,513,42,117,305,155,0,7,52,68
2017-04-12,150,392,48,95,245,155,0,11,56,60
2017-04-13,143,392,56,117,255,149,0,12,33,59
2017-04-14,113,297,32,85,262,120,1,5,31,43
2017-04-15,96,384,60,93,207,105,2,9,26,45
2017-04-16,106,303,47,62,169,124,1,11,19,31
2017-04-17,123,347,44,81,183,200,0,7,43,41
2017-04-18,147,485,44,94,289,190,1,19,45,53
2017-04-19,183,457,42,93,262,159,0,22,57,44
2017-04-20,168,477,56,112,228,123,1,16,68,62
2017-04-21,141,417,34,97,260,133,0,27,44,41
2017-04-22,122,424,42,77,241,133,1,14,28,50
2017-04-23,127,423,55,71,205,145,0,16,38,41
2017-04-24,153,387,53,82,212,138,0,14,47,61
2017-04-25,137,417,53,73,236,133,0,16,38,50
2017-04-26,180,438,50,100,286,176,1,16,53,58
2017-04-27,135,437,41,86,274,169,0,15,54,69
2017-04-28,155,350,30,78,257,115,0,11,43,56
2017-04-29,130,382,35,80,211,142,0,5,47,48
2017-04-30,96,305,38,72,233,149,0,6,49,48
2017-05-01,150,356,43,58,216,128,0,14,40,46
2017-05-02,172,392,59,95,280,156,1,12,36,70
2017-05-03,147,393,52,99,261,132,0,17,55,57
2017-05-04,173,440,48,100,337,136,0,9,68,63
2017-05-05,145,372,62,74,272,140,1,18,43,58
2017-05-06,137,391,33,71,209,106,0,16,37,53
2017-05-07,149,374,52,78,191,138,0,12,26,45
2017-05-08,162,416,35,84,315,148,1,18,57,58
2017-05-09,141,427,57,73,267,141,0,19,68,41
2017-05-10,159,603,59,83,271,103,0,15,59,40
2017-05-11,164,514,48,92,236,139,0,20,60,32
2017-05-12,147,327,36,94,253,130,0,17,65,49
2017-05-13,128,309,42,67,206,127,0,18,39,59
2017-05-14,185,341,58,76,240,124,0,8,51,42
2017-05-15,175,415,55,87,266,152,0,14,43,53
2017-05-16,149,375,49,113,315,145,1,8,65,52
2017-05-17,181,454,49,108,318,171,2,8,61,53
2017-05-18,129,414,56,103,277,141,0,14,65,64
2017-05-19,168,384,48,87,280,142,0,25,65,60
2017-05-20,211,388,41,89,212,140,0,35,43,67
2017-05-21,187,406,49,80,237,171,1,31,53,50
2017-05-22,209,461,47,96,280,136,0,30,54,64
2017-05-23,183,448,28,104,287,145,0,36,62,65
2017-05-24,192,380,44,100,286,179,0,28,66,56
2017-05-25,155,454,39,93,284,158,0,28,51,67
2017-05-26,152,341,32,87,232,141,1,19,59,66
2017-05-27,154,347,21,84,185,130,0,13,35,71
2017-05-28,113,341,37,70,211,153,0,21,46,72
2017-05-29,164,453,48,83,279,181,0,22,69,70
2017-05-30,149,430,45,94,283,123,0,29,38,100
2017-05-31,148,425,38,90,252,147,0,35,60,77
2017-06-01,109,356,51,76,281,118,0,23,59,52
2017-06-02,100,380,32,75,206,131,0,15,50,60
2017-06-03,125,280,31,80,209,136,0,6,43,48
2017-06-04,79,340,32,78,216,131,0,20,57,54
2017-06-05,124,388,34,112,260,172,0,20,51,75
2017-06-06,151,398,33,111,320,131,0,21,81,78
2017-06-07,149,434,54,96,284,118,0,19,78,60
2017-06-08,163,343,42,87,292,133,0,35,71,56
2017-06-09,119,311,35,86,224,151,0,21,54,69
2017-06-10,119,322,31,71,215,132,0,13,68,66
2017-06-11,94,340,38,76,209,100,0,13,75,75
2017-06-12,153,357,40,114,282,128,1,30,79,64
2017-06-13,149,400,34,71,238,152,0,28,94,65
2017-06-14,126,363,34,91,260,153,0,29,90,47
2017-06-15,135,370,41,63,222,144,0,34,63,56
2017-06-16,115,340,33,89,211,137,0,20,65,50
2017-06-17,113,296,27,86,212,139,0,16,51,45
2017-06-18,108,388,38,80,210,144,0,17,68,52
2017-06-19,203,399,42,83,273,160,0,22,75,70
2017-06-20,226,433,38,101,255,112,0,27,90,57
2017-06-21,159,382,42,107,246,145,0,21,66,63
2017-06-22,188,365,38,84,207,132,0,23,50,83
2017-06-23,138,306,30,92,234,148,0,27,53,61
2017-06-24,183,278,23,71,217,106,0,25,49,60
