Date,Influenza,Febbre,Rinorrea,Mialgia,Cefalea,Vomito,Vaccino influenza stagionale,Vaccino antinfluenzale,Amantadina,Antivirale
2018-01-01,528,666,47,93,192,210,0,79,34,70
2018-01-02,719,927,80,123,254,212,0,82,57,71
2018-01-03,890,923,54,144,253,186,0,95,70,74
2018-01-04,1047,917,75,143,275,170,0,107,57,85
2018-01-05,938,851,57,115,259,163,1,121,64,72
2018-01-06,859,784,69,210,263,163,2,117,51,63
2018-01-07,921,894,71,264,305,196,0,91,68,92
2018-01-08,853,829,63,181,277,195,1,79,66,96
2018-01-09,880,838,64,136,479,177,0,114,78,86
2018-01-10,818,835,74,149,345,170,1,74,90,74
2018-01-11,737,683,66,150,338,143,0,112,66,59
2018-01-12,726,724,76,138,402,150,0,77,66,82
2018-01-13,696,709,54,120,241,156,5,85,77,71
2018-01-14,659,669,55,109,285,170,2,101,60,67
2018-01-15,597,690,84,124,306,160,1,106,82,72
2018-01-16,662,713,68,95,331,157,1,97,94,71
2018-01-17,651,667,59,120,334,159,0,88,83,46
2018-01-18,916,681,78,128,317,157,1,165,68,70
2018-01-19,845,623,88,133,245,146,0,186,74,71
2018-01-20,672,631,77,123,239,156,0,103,52,82
2018-01-21,611,638,77,109,268,162,0,73,47,60
2018-01-22,680,650,100,128,321,206,1,74,68,71
2018-01-23,592,784,120,133,299,169,0,62,82,53
2018-01-24,585,656,80,108,301,181,2,75,85,72
2018-01-25,586,736,64,135,295,187,0,64,78,46
2018-01-26,605,667,57,127,288,143,0,86,68,51
2018-01-27,482,649,46,114,228,152,0,83,76,60
2018-01-28,479,668,57,118,250,182,1,58,79,53
2018-01-29,592,668,53,128,358,191,1,59,79,62
2018-01-30,536,726,45,129,300,177,0,72,76,60
2018-01-31,506,627,59,123,317,159,0,66,78,54
2018-02-01,507,615,58,136,327,148,0,77,85,69
2018-02-02,614,524,56,122,268,140,0,52,62,77
2018-02-03,425,549,42,150,227,150,0,60,56,49
